model_size(B),tp,num_clients,mode,success_rate,qps,avg_inlen,avg_outlen,max_inlen,max_outlen,o_tps,io_tps,min_ttft,max_ttft,mean_ttft,median_ttft,std_ttft,p90_ttft,p99_ttft,min_tpot,max_tpot,mean_tpot,median_tpot,std_tpot,p90_tpot,p99_tpot,min_e2e,max_e2e,mean_e2e,median_e2e,std_e2e,p90_e2e,p99_e2e,min_itl,max_itl,mean_itl,median_itl,std_itl,p90_itl,p99_itl
70,4,30,fp16,1.000,2.055,152.620,352.137,1020,878,723.541,1037.131,46.012,395.567,108.471,85.165,55.436,205.566,296.737,32.839,54.740,39.567,39.463,1.618,40.919,45.729,608.239,35375.321,13949.570,11977.366,9469.973,30318.900,35017.135,29.598,276.451,39.418,37.326,15.146,38.338,113.870
70,4,40,fp16,1.000,2.597,147.039,344.001,1020,878,893.518,1275.441,42.559,392.060,114.004,88.830,54.538,210.567,288.013,32.837,58.025,42.298,42.323,1.986,44.085,48.339,284.142,38058.691,14568.845,12573.733,9858.528,32048.353,37429.970,29.587,275.918,42.142,39.206,17.491,41.920,131.314
70,4,50,fp16,1.000,2.994,148.624,339.057,1020,878,1015.103,1460.068,42.964,394.064,120.480,94.021,55.175,216.413,290.572,32.861,77.186,46.555,46.627,2.654,48.443,53.633,303.604,41706.425,15779.112,13886.581,10669.720,34377.767,41297.352,28.303,276.399,46.319,42.860,19.603,49.929,174.524
70,4,100,fp16,1.000,4.960,134.761,324.400,1020,947,1608.863,2277.210,44.462,447.984,139.806,111.377,60.145,242.858,332.209,32.827,84.790,56.608,56.825,3.308,59.355,63.394,282.135,55365.370,18392.703,16352.586,12061.718,34582.052,50958.973,29.602,385.215,56.441,49.219,27.521,63.137,204.771
70,4,200,fp16,1.000,6.360,126.932,324.404,1020,947,2063.296,2870.617,39.034,543.473,197.804,164.576,77.783,317.122,454.894,33.277,122.579,87.880,89.907,8.877,93.866,101.500,283.555,86642.998,28340.150,25022.559,19121.085,54659.129,83331.868,29.843,430.892,87.019,76.971,40.499,119.813,265.408
70,4,300,fp16,1.000,7.402,123.782,322.156,1020,982,2384.505,3300.703,37.236,763.241,246.896,218.349,95.254,381.050,515.246,32.864,146.321,110.623,114.394,13.181,118.997,130.004,290.718,114719.776,35424.978,30893.286,25199.614,69505.046,106685.215,29.561,550.037,109.536,91.999,53.801,177.581,316.546
70,8,1,fp16,1.000,0.149,158.467,321.622,1020,878,47.869,71.454,23.099,175.344,42.506,26.383,32.361,89.184,152.125,19.443,21.123,19.950,19.972,0.259,20.106,20.770,314.651,17731.047,6448.309,5663.652,4488.776,13411.150,16937.425,19.161,60.380,19.979,20.013,0.591,20.140,20.411
70,8,5,fp16,1.000,0.582,150.536,359.541,1020,892,209.296,296.926,28.106,202.144,63.019,48.440,28.219,106.280,149.916,21.228,33.714,23.164,23.063,0.835,23.415,24.364,368.856,20732.192,8352.035,7805.196,5538.736,17900.151,20662.274,19.753,148.832,23.117,22.947,3.124,23.182,24.875
70,8,10,fp16,1.000,1.106,150.446,364.017,1020,892,402.531,568.894,32.882,175.994,65.855,50.787,28.735,121.581,163.759,22.636,32.045,23.911,23.830,0.575,24.349,25.261,380.393,21560.795,8735.775,8084.519,5675.795,18457.229,21343.055,19.988,141.151,23.881,23.494,4.855,23.758,34.130
70,8,20,fp16,1.000,2.126,145.416,357.860,1020,892,760.807,1069.961,26.888,244.479,69.110,55.361,29.908,125.792,167.996,23.292,32.047,25.484,25.441,0.651,25.983,27.891,397.739,22856.861,9158.063,8564.209,6019.831,19452.950,22520.752,19.930,192.523,25.468,24.602,7.143,25.188,54.859
70,8,30,fp16,1.000,2.977,147.052,348.256,1020,892,1036.812,1474.611,30.045,248.458,73.290,60.872,31.957,130.162,172.477,22.864,35.334,27.527,27.491,0.912,28.265,30.766,190.872,24589.786,9616.747,8692.525,6435.066,20822.484,24289.054,19.660,197.092,27.482,26.118,9.230,27.287,77.866
70,8,40,fp16,1.000,3.849,144.742,342.176,1020,947,1317.109,1874.251,29.015,261.769,76.793,63.616,31.822,132.615,176.001,23.186,53.384,28.781,28.721,1.252,29.755,32.861,195.956,26777.687,9870.202,9012.136,6616.047,21524.519,25356.426,19.901,200.927,28.704,26.701,10.893,28.618,85.169
70,8,50,fp16,1.000,4.496,141.691,340.120,1020,947,1529.214,2166.270,29.193,266.255,81.086,66.227,32.437,132.795,183.880,23.277,56.996,31.280,31.260,1.590,32.319,35.272,207.521,29646.531,10661.564,9809.715,7133.302,23313.809,27750.834,20.003,208.426,31.199,28.721,12.067,34.551,103.234
70,8,100,fp16,1.000,6.628,134.005,323.214,1020,947,2142.401,3030.640,30.003,350.210,102.098,85.951,35.875,157.253,223.735,23.260,64.547,43.413,43.682,2.414,45.192,48.390,207.308,42208.576,14086.700,12490.365,9295.436,26805.675,39060.838,19.904,265.441,43.402,39.165,16.792,48.901,130.415
70,8,200,fp16,1.000,8.946,126.496,323.029,1020,947,2889.774,4021.392,26.037,355.992,135.523,116.106,45.146,204.330,280.593,23.339,87.506,63.066,64.613,5.849,66.455,70.578,220.931,62107.255,20368.332,17811.483,13931.834,39428.339,60009.087,20.063,329.572,62.829,57.835,24.045,78.739,173.042
70,8,300,fp16,1.000,11.337,123.127,322.028,1020,982,3650.724,5046.576,28.427,443.994,160.037,142.089,57.364,246.896,327.294,23.353,118.529,72.105,73.918,7.365,76.751,84.525,219.369,73697.275,23207.380,20248.738,16560.031,45440.868,68809.281,1.046,431.746,71.792,60.827,33.730,115.478,199.682
