model_size(B),tp,num_clients,mode,success_rate,qps,avg_inlen,avg_outlen,max_inlen,max_outlen,o_tps,io_tps,min_ttft,max_ttft,mean_ttft,median_ttft,std_ttft,p90_ttft,p99_ttft,min_tpot,max_tpot,mean_tpot,median_tpot,std_tpot,p90_tpot,p99_tpot,min_e2e,max_e2e,mean_e2e,median_e2e,std_e2e,p90_e2e,p99_e2e,min_itl,max_itl,mean_itl,median_itl,std_itl,p90_itl,p99_itl
65,8,300,fp16,1.000,6.583,124.593,322.752,1020,982,2124.563,2944.716,90.460,6167.450,960.356,763.758,840.364,1693.818,4524.120,63.621,182.325,116.288,120.511,10.769,123.601,130.096,862.816,120829.587,38193.367,33626.828,26684.932,74293.396,112300.054,8.619,1104.975,115.719,100.265,66.390,134.169,418.809
70,4,1,fp16,1.000,0.059,168.944,293.889,1020,790,17.260,27.183,63.719,1781.880,171.605,66.898,391.265,120.800,1506.771,56.293,61.292,57.652,57.474,0.959,57.950,60.736,2470.496,45666.602,17026.627,14285.211,12499.927,36472.848,45490.736,53.380,96.316,57.547,56.378,3.136,61.076,66.237
70,4,5,fp16,1.000,0.234,150.740,338.779,1020,801,79.380,114.701,110.922,972.269,402.002,406.187,195.014,612.218,896.142,58.447,77.836,59.903,59.429,2.398,60.310,69.687,1050.323,48041.180,20485.816,17156.266,14251.148,45613.071,48006.714,54.104,297.633,59.458,57.582,8.773,63.647,111.161
70,4,10,fp16,1.000,0.445,157.053,337.600,1020,878,150.149,219.999,110.893,994.897,401.779,413.185,186.011,612.852,884.532,58.785,79.197,61.378,60.867,2.117,62.523,70.104,1025.542,53314.861,20976.559,15943.401,15031.415,47043.475,49696.779,53.829,326.628,61.125,58.331,14.149,63.834,120.028
70,4,20,fp16,1.000,0.840,159.312,345.858,1020,878,290.514,424.333,107.673,983.100,405.172,409.058,192.527,628.521,895.512,59.074,78.247,63.612,63.369,2.151,65.010,72.636,1062.817,56847.698,22248.760,18148.114,15504.872,49627.893,55543.375,39.637,332.429,63.341,59.511,19.135,65.017,146.152
70,4,30,fp16,1.000,1.182,158.483,350.478,1020,878,414.379,601.757,106.355,1183.841,423.954,424.376,211.344,667.030,982.773,59.888,77.720,65.664,65.533,2.247,67.632,73.884,1045.292,58538.166,23271.592,19307.338,15771.921,50875.620,58292.760,54.222,529.389,65.376,60.494,23.361,65.212,178.549
70,4,40,fp16,1.000,1.496,155.248,352.120,1020,878,526.609,758.788,106.382,1285.945,439.315,454.391,223.785,690.021,1038.985,59.260,80.344,67.186,67.187,2.254,68.908,74.870,1092.904,60406.893,23974.563,21029.457,15868.528,51446.221,59771.568,0.007,572.313,67.029,60.896,26.946,67.405,201.002
70,4,50,fp16,1.000,1.891,149.117,342.105,1020,878,646.970,928.972,104.596,1293.942,446.366,465.334,223.904,712.083,1070.121,60.571,80.548,68.836,68.917,2.448,71.348,75.740,485.837,62152.932,23892.324,21339.146,15884.034,51647.357,61436.246,1.831,520.111,68.735,61.580,29.626,69.262,222.798
70,4,100,fp16,1.000,3.507,138.195,323.373,1020,947,1134.194,1618.896,101.105,1353.049,515.499,500.207,256.125,866.666,1159.595,60.669,101.613,77.385,77.761,3.469,80.720,84.083,556.497,76042.786,25434.827,22720.641,16532.908,48358.106,69981.012,0.007,587.965,77.300,65.334,45.348,74.726,314.561
70,4,200,fp16,1.000,4.738,126.733,321.327,1020,947,1522.407,2122.852,112.699,1785.086,729.787,715.833,344.823,1199.835,1532.725,62.512,133.835,111.741,114.748,8.839,118.231,123.512,832.289,112316.522,36377.731,32110.605,24383.179,70365.642,107113.016,7.220,608.139,111.286,96.070,66.932,108.237,451.585
