model_size(B),tp,num_clients,mode,success_rate,qps,avg_inlen,avg_outlen,max_inlen,max_outlen,o_tps,io_tps,min_ttft,max_ttft,mean_ttft,median_ttft,std_ttft,p90_ttft,p99_ttft,min_tpot,max_tpot,mean_tpot,median_tpot,std_tpot,p90_tpot,p99_tpot,min_e2e,max_e2e,mean_e2e,median_e2e,std_e2e,p90_e2e,p99_e2e,min_itl,max_itl,mean_itl,median_itl,std_itl,p90_itl,p99_itl
13,2,200,fp16,1.000,6.173,128.912,324.210,1020,947,2001.208,2796.926,20.784,352.866,87.156,88.986,47.683,117.903,297.103,21.993,136.294,92.128,96.408,12.430,98.208,106.452,202.761,92548.557,29676.458,26216.101,20362.743,57777.072,89093.646,15.740,546.295,91.545,75.122,48.557,128.161,307.912
13,2,300,fp16,1.000,5.968,126.411,323.821,1020,982,1932.626,2687.074,20.535,426.631,109.404,120.687,68.802,162.675,383.795,22.039,180.769,138.910,149.427,24.156,152.137,158.553,201.647,148675.712,44555.743,39291.257,32178.725,88249.868,136269.949,16.141,726.653,137.676,111.466,76.660,197.826,416.076
65,8,1,fp16,1.000,0.091,167.414,351.310,1020,878,32.117,47.422,36.182,387.114,63.225,39.066,68.387,107.865,326.262,30.494,65.181,32.187,31.039,6.240,31.355,55.757,1169.284,27396.319,10938.302,8993.637,7289.055,23975.853,26617.359,27.573,311.029,31.044,30.808,3.449,31.454,36.507
65,8,5,fp16,1.000,0.408,150.690,373.519,1020,878,152.542,214.083,42.109,177.582,74.889,64.143,24.819,102.874,160.934,31.097,51.565,32.048,31.777,1.921,32.205,38.798,578.962,28136.498,11925.756,10797.711,7597.957,24643.325,27921.524,29.027,233.303,31.813,31.266,5.201,31.817,63.155
65,8,10,fp16,1.000,0.823,141.463,368.569,1020,878,303.273,419.674,38.291,200.301,73.623,63.179,26.191,99.590,170.923,30.866,62.192,32.392,32.086,2.327,32.774,37.277,570.559,28488.416,11897.213,10655.447,7740.115,24932.289,28238.558,28.529,231.433,32.167,30.912,7.732,32.372,64.761
65,8,20,fp16,1.000,1.554,147.099,357.718,1020,878,555.834,784.402,37.358,199.966,76.807,64.586,28.939,128.706,171.127,31.374,61.807,34.315,34.173,1.768,35.050,39.403,499.029,30551.472,12263.587,10703.171,8233.873,26300.911,30063.405,29.162,234.434,34.163,31.599,12.075,34.042,84.770
65,8,30,fp16,1.000,2.152,151.668,350.444,1020,878,754.166,1080.560,35.024,212.893,79.705,66.899,28.286,130.548,168.630,32.122,61.746,37.733,37.731,1.745,38.907,42.493,512.595,34002.421,13234.011,11187.163,9023.034,29033.107,33399.129,29.523,452.369,37.643,33.798,16.313,36.931,118.230
65,8,40,fp16,1.000,2.596,147.039,344.131,1020,878,893.468,1275.226,36.856,252.036,81.961,70.069,28.422,119.231,171.257,32.686,62.210,42.362,42.518,2.186,44.077,48.712,260.336,38222.132,14568.912,12485.531,9893.989,32200.335,37585.282,29.018,449.360,42.219,37.208,18.937,52.629,139.842
65,8,50,fp16,1.000,2.950,148.276,339.796,1020,947,1002.512,1439.976,37.712,247.869,84.553,72.641,28.606,122.735,174.885,32.458,78.868,46.284,46.496,2.766,48.164,54.568,278.144,41514.430,15683.238,13843.816,10614.978,34063.134,40986.496,28.869,420.020,46.041,39.975,21.091,72.499,156.211
65,8,100,fp16,1.000,4.204,136.574,325.816,1020,947,1369.812,1944.006,37.678,288.946,97.485,87.757,32.937,137.238,248.256,38.783,98.574,68.021,68.828,4.691,70.948,77.419,340.229,66126.287,22056.795,19561.865,14510.834,41323.140,61240.774,29.838,416.613,67.604,55.526,33.073,97.195,214.920
65,8,200,fp16,1.000,4.774,127.619,321.838,1020,947,1536.533,2145.818,34.848,406.227,125.549,122.252,53.655,174.895,333.861,47.903,157.693,118.205,122.377,12.380,124.895,138.688,310.505,116768.928,37597.496,33427.160,25477.288,72818.936,112454.179,29.915,638.214,116.791,92.346,59.337,180.098,356.452
65,8,300,fp16,1.000,4.903,124.441,322.754,1020,982,1582.338,2192.423,37.247,541.159,151.089,153.641,78.740,224.793,436.619,48.937,227.031,168.766,177.918,23.605,182.999,195.324,312.777,176608.106,53458.984,47491.532,37845.181,103208.416,163308.621,30.029,883.476,165.674,129.429,87.325,285.706,481.219
70,4,1,fp16,1.000,0.090,175.963,341.667,1020,878,30.742,46.575,37.979,1417.992,116.904,43.370,259.461,174.182,1103.472,31.576,68.812,33.449,31.995,6.948,32.784,59.604,1371.007,29497.209,11113.708,9011.934,7781.297,25018.225,28550.351,30.909,325.875,32.280,31.754,3.680,33.785,38.026
70,4,5,fp16,1.000,0.384,152.076,369.866,1020,878,141.991,200.373,68.421,333.705,96.890,73.638,49.954,175.510,242.029,33.302,57.225,34.746,34.407,2.181,35.192,38.695,689.596,31086.804,12837.708,11065.859,8469.697,26679.837,30813.391,31.712,310.124,34.540,33.782,7.396,34.418,67.149
70,4,10,fp16,1.000,0.694,149.350,367.914,1020,878,255.199,358.794,37.860,330.321,97.193,74.830,48.588,173.570,243.297,34.361,72.562,38.183,37.363,3.552,39.463,51.205,683.829,38533.793,14069.075,11459.590,9695.393,29358.384,36244.069,31.454,290.640,38.079,35.844,13.536,37.071,115.535
70,4,20,fp16,1.000,1.150,159.774,352.441,1020,878,405.187,588.874,38.883,639.804,111.180,81.471,63.879,225.166,275.473,36.828,136.668,47.654,45.682,9.262,50.707,89.408,760.948,46977.833,16607.569,13215.619,11691.804,35564.377,45903.297,31.466,639.225,46.939,42.347,22.820,44.266,126.657
70,4,30,fp16,1.000,1.647,151.161,348.383,1020,878,573.636,822.533,40.058,388.666,109.536,84.080,54.693,204.817,288.810,37.603,75.000,50.015,49.950,2.625,51.887,58.563,710.328,45072.737,17375.461,14872.415,11823.297,38504.848,44113.785,31.470,687.888,49.702,45.077,23.011,46.627,159.791
70,4,40,fp16,1.000,2.131,150.722,347.255,1020,878,739.878,1061.013,38.402,421.695,109.547,83.510,54.657,201.459,284.876,38.874,75.110,51.249,51.207,2.861,53.468,62.700,658.993,46136.569,17751.111,15746.498,11952.812,38886.725,45192.749,31.484,694.176,50.949,44.632,26.422,46.958,198.398
70,4,50,fp16,1.000,2.462,147.093,339.220,1020,878,835.278,1197.474,36.980,394.181,111.156,86.410,53.182,181.130,292.977,39.323,88.295,55.841,55.948,3.442,58.228,67.308,320.597,50253.679,18874.527,16476.545,12693.225,41181.144,49292.665,31.687,712.818,55.476,47.576,30.054,83.872,206.860
70,4,100,fp16,1.000,3.561,139.452,323.474,1020,947,1151.985,1648.615,39.043,417.464,126.471,102.744,54.229,201.174,315.518,42.752,119.110,80.009,80.575,6.088,84.166,95.992,421.827,78143.582,25730.837,22915.100,16939.810,48721.616,72139.922,31.708,691.734,79.398,63.347,44.543,124.458,270.306
70,4,200,fp16,1.000,4.098,128.605,323.545,1020,947,1325.730,1852.691,39.103,460.874,155.150,140.070,69.554,254.814,377.737,53.212,175.762,136.149,140.212,14.303,144.292,155.097,425.658,135013.791,43353.770,38416.074,28843.917,82518.499,128650.448,31.519,763.476,133.927,103.289,72.140,231.341,389.663
70,4,300,fp16,1.000,4.302,125.076,322.891,1020,982,1388.922,1926.938,42.428,595.382,181.430,172.980,87.245,292.336,440.205,56.362,280.647,189.904,197.819,24.787,204.309,219.064,425.606,196968.301,59876.459,53053.070,41585.085,114588.294,181431.696,31.544,768.588,185.446,139.477,100.376,340.643,532.555
70,8,1,fp16,1.000,0.091,167.414,351.310,1020,878,32.116,47.420,35.678,312.740,66.886,39.026,66.006,113.035,301.863,30.413,66.515,32.186,31.003,6.491,31.268,56.678,1110.915,27372.409,10938.680,8928.313,7301.639,23977.313,26587.128,27.873,316.562,31.034,30.864,3.314,31.375,35.132
70,8,5,fp16,1.000,0.398,147.323,373.548,1020,878,148.636,207.256,50.451,179.218,77.080,66.084,26.291,112.713,167.323,32.289,52.808,33.360,33.077,1.949,33.558,40.167,595.338,29537.098,12413.863,11177.786,7959.501,25653.282,29134.601,30.006,240.743,33.114,32.493,5.368,33.194,65.251
70,8,10,fp16,1.000,0.766,143.967,371.840,1020,878,284.984,395.323,45.715,201.260,76.592,65.474,28.160,111.934,176.887,32.516,64.213,34.113,33.799,2.396,34.613,39.141,596.422,29950.312,12635.051,11058.361,8251.964,26272.735,29922.965,29.739,238.456,33.865,32.644,7.985,33.789,67.150
70,8,20,fp16,1.000,1.512,148.431,355.438,1020,878,537.427,761.858,48.162,200.372,78.990,65.411,30.834,132.480,198.647,32.656,65.349,35.616,35.452,1.985,36.550,41.000,513.936,31512.567,12638.757,10839.095,8560.852,27300.726,31017.299,30.847,239.057,35.435,32.771,12.388,35.430,85.986
70,8,30,fp16,1.000,2.131,152.137,350.396,1020,878,746.841,1071.107,36.615,219.694,81.013,67.023,31.247,135.756,174.911,33.135,64.859,38.589,38.461,2.003,40.059,44.920,526.618,34511.850,13496.644,11510.483,9205.904,29567.809,33849.755,30.037,486.991,38.396,34.378,16.705,37.719,116.235
70,8,40,fp16,1.000,2.711,148.556,344.726,1020,878,934.634,1337.404,46.756,245.315,81.809,67.572,31.798,133.795,203.525,33.329,64.553,40.633,40.556,2.154,42.309,48.159,242.645,36689.343,13995.248,12214.966,9505.516,30490.119,35874.957,30.429,491.069,40.478,35.215,19.072,40.546,136.723
70,8,50,fp16,1.000,3.250,145.834,338.418,1020,947,1099.715,1573.613,36.044,275.626,82.527,68.719,31.043,125.740,176.667,34.174,64.716,43.067,43.036,2.529,44.773,52.629,246.042,38749.163,14551.124,12935.638,9863.587,31885.383,37927.884,29.969,487.563,42.879,36.454,21.282,69.094,155.550
70,8,100,fp16,1.000,4.830,135.279,324.143,1020,947,1565.471,2218.810,35.216,266.695,91.593,79.371,32.019,135.607,215.160,36.387,76.546,59.977,60.508,3.784,62.764,68.712,302.776,58204.301,19402.311,17241.661,12800.558,36414.907,53972.588,29.548,487.074,59.758,47.400,32.152,88.062,205.223
70,8,200,fp16,1.000,5.574,127.185,322.741,1020,947,1798.833,2507.714,34.732,402.710,113.708,105.838,47.223,171.811,304.500,39.860,141.705,101.223,104.113,10.514,107.080,115.546,298.255,100325.769,32326.543,28432.531,21881.951,62625.116,96187.964,30.581,487.786,100.117,76.011,54.369,162.565,307.168
70,8,300,fp16,1.000,5.776,125.650,324.230,1020,982,1872.766,2598.524,35.080,471.570,131.271,129.278,64.318,198.478,389.860,46.673,194.256,142.749,149.554,18.491,153.769,162.595,295.710,149615.210,45483.631,40073.502,32079.060,88122.746,137281.407,29.753,588.419,140.305,104.357,78.066,238.750,425.203
